,laptop_ID,Company,TypeName,Inches,Ram,Memory,OpSys,Weight,Price_euros,Memory Type,Screen Width,Screen Height,Screen Type,CPU Clock Speed,GPU Type,CPU Type
0,1,Apple,Ultrabook,13.3,8,128.0,macOS,1.37,1339.69,SSD,2560,1600,IPS Panel,2.3,Intel,Intel
1,2,Apple,Ultrabook,13.3,8,128.0,macOS,1.34,898.94,Flash,1440,900,Plain,1.8,Intel,Intel
2,3,HP,Notebook,15.6,8,256.0,No OS,1.86,575.0,SSD,1920,1080,Full HD,2.5,Intel,Intel
3,4,Apple,Ultrabook,15.4,16,512.0,macOS,1.83,2537.45,SSD,2880,1800,IPS Panel,2.7,AMD,Intel
4,5,Apple,Ultrabook,13.3,8,256.0,macOS,1.37,1803.6,SSD,2560,1600,IPS Panel,3.1,Intel,Intel
5,6,Acer,Notebook,15.6,4,500.0,Windows 10,2.1,400.0,HDD,1366,768,Plain,3.0,AMD,AMD
6,7,Apple,Ultrabook,15.4,16,256.0,Mac OS X,2.04,2139.97,Flash,2880,1800,IPS Panel,2.2,Intel,Intel
7,8,Apple,Ultrabook,13.3,8,256.0,macOS,1.34,1158.7,Flash,1440,900,Plain,1.8,Intel,Intel
8,9,Asus,Ultrabook,14.0,16,512.0,Windows 10,1.3,1495.0,SSD,1920,1080,Full HD,1.8,Nvidia,Intel
9,10,Acer,Ultrabook,14.0,8,256.0,Windows 10,1.6,770.0,SSD,1920,1080,IPS Panel,1.6,Intel,Intel
10,11,HP,Notebook,15.6,4,500.0,No OS,1.86,393.9,HDD,1366,768,Plain,2.5,Intel,Intel
11,12,HP,Notebook,15.6,4,500.0,No OS,1.86,344.99,HDD,1920,1080,Full HD,2.0,Intel,Intel
12,13,Apple,Ultrabook,15.4,16,256.0,macOS,1.83,2439.97,SSD,2880,1800,IPS Panel,2.8,AMD,Intel
13,14,Dell,Notebook,15.6,4,256.0,Windows 10,2.2,498.9,SSD,1920,1080,Full HD,2.0,AMD,Intel
14,15,Apple,Ultrabook,12.0,8,256.0,macOS,0.92,1262.4,SSD,2304,1440,IPS Panel,1.2,Intel,Intel
15,16,Apple,Ultrabook,13.3,8,256.0,macOS,1.37,1518.55,SSD,2560,1600,IPS Panel,2.3,Intel,Intel
16,17,Dell,Notebook,15.6,8,256.0,Windows 10,2.2,745.0,SSD,1920,1080,Full HD,2.7,AMD,Intel
17,18,Apple,Ultrabook,15.4,16,512.0,macOS,1.83,2858.0,SSD,2880,1800,IPS Panel,2.9,AMD,Intel
18,19,Lenovo,Notebook,15.6,8,1024.0,No OS,2.2,499.0,HDD,1920,1080,Full HD,2.4,Nvidia,Intel
19,20,Dell,Ultrabook,13.3,8,128.0,Windows 10,1.22,979.0,SSD,1920,1080,IPS Panel,1.6,Intel,Intel
20,21,Asus,Netbook,11.6,2,32.0,Windows 10,0.98,191.9,Flash,1366,768,Plain,1.44,Intel,Intel
21,22,Lenovo,Gaming,15.6,8,128.0,Windows 10,2.5,999.0,SSD,1920,1080,IPS Panel,2.5,Nvidia,Intel
22,23,HP,Notebook,15.6,4,500.0,No OS,1.86,258.0,HDD,1366,768,Plain,1.5,AMD,AMD
23,24,Dell,2 in 1 Convertible,13.3,8,256.0,Windows 10,1.62,819.0,SSD,1920,1080,Full HD,1.6,Intel,Intel
24,25,HP,Ultrabook,15.6,8,256.0,Windows 10,1.91,659.0,SSD,1920,1080,Full HD,1.8,Intel,Intel
25,26,Dell,Notebook,15.6,4,1024.0,Windows 10,2.3,418.64,HDD,1366,768,Plain,2.0,Intel,Intel
26,27,Apple,Ultrabook,13.3,8,128.0,Mac OS X,1.35,1099.0,Flash,1440,900,Plain,1.6,Intel,Intel
27,28,Dell,Notebook,15.6,8,256.0,Windows 10,2.2,800.0,SSD,1920,1080,Full HD,1.6,AMD,Intel
28,29,Dell,Ultrabook,15.6,8,256.0,Windows 10,1.88,1298.0,SSD,1920,1080,Full HD,1.9,Intel,Intel
29,30,HP,Notebook,17.3,8,1024.0,Windows 10,2.5,896.0,HDD,1920,1080,Full HD,1.6,Nvidia,Intel
